id,sentence,labels
5189,TM COMMUNICATIONS lt TMCI COMPLETES PURCHASE TM Communications Inc completed acquisition radio station KNSS FM Reno Nev 500 000 dlrs cash,"80,"
4969,USDA DETAILS CONSERVATION CROP ENROLLMENT Farmers enrolled 6.5 mln acres program crops conservation reserve program signup mln acres program crops Agriculture Department conservation specialists Soybean acreage amounted mln acres program crop acreage enrolled USDA analyst Heavy enrollment base acreage wheat percentage fallow soybean land accounted portion program acreage analyst Wheat corn acreage comprised 40 pct total 10 572 402 acres accepted ten program USDA analysts enrollment breakdown -- wheat 615 140 acres -- corn 894 764 acres -- barley 705 888 acres -- sorghum 585 552 acres -- cotton 417 893 acres -- rice 035 acres -- peanuts 611 acres -- tobacco 285 acres -- total program crops 512 700 acres -- total nonprogram 059 702 acres -- total enrollment 10 572 402 acres USDA analysts complete breakdown crop acreage enrollment ready publication week,"3,13,14,27,55,69,74,77,87,"
4132,CENTEL CORP lt CNT REGULAR PAYOUT SET Qtly div 62 cts 62 cts Pay April 30 Record April Seven,"22,"
5528,GENERAL DEVICES INC lt GDIC YEAR NET Shr profit 48 cts loss 21 cts Net profit 308 503 loss 561 384 Revs 56.0 mln 66.1 mln NOTE 1986 net includes pretax gain 429 563 dlrs sale Worldwide Computer Services Inc subsidiary 352 000 dlr tax credit,"22,"
6017,STEVENS AND CO lt STN IN PAYOUT Qtly div 30 cts 30 cts prior Pay April 30 Record April Three,"22,"
6781,SEISMIC ENTERPRISES INC lt SEIS 4TH QTR LOSS Shr loss cts profit 10 cts Net loss 714 905 profit 889 679 Revs 091 461 156 569 Year Shr loss cts profit 22 cts Net loss 422 037 profit 850 637 Revs 642 490 948 312 Avg shrs 808 323 412 822,"22,"
5236,EXXON lt XON MAY CLOSE ONE FRENCH REFINERY Exxon Corp largest oil company published interview reviewing worldwide refinery operations decide close french refineries Lee Raymond Exxon president singled possibility closure Exxon refineries France interview An Exxon spokeswoman confirmed Raymond mentioned refineries France specific refinery named She Exxon opertations constant review Exxon refineries France FOS mediterranean capcity 175 000 barrels day Port Jerome west paris capacity Petroleum Intelligence Weekly influential trade journal current issue understood Exxon possibility refinery closures Antwerp Southern France Italy Paul Mlotok oil analyst Salomon Brothers closures Exxon 1986 Europe improvement European refining situation future profits Exxon major oil companies closed bunch refineries Europe upgraded rest shaken indepedents market Now demand products rising efficient operations Exxon superior earnings Mlotok Just Royal Dutch lt RD grade refiners Europe Industry sources oil companies feel pressure operations Southern Europe competition OPEC countries increasing producers move downstream operations PIW refiners Mediterranean expect increased shipments Saudi Arabia OPEC export refineries PIW sales Libya Algeria expected reclaim markets lost Italian European refiners result abundance cheap netback oil,"18,"
5337,CROSS BOOSTS FROST AND SULLIVAN lt FRSL HOLDINGS shareholder led New York investor Theodore Cross Securities Exchange Commission filing boosted stake Frost Sullivan Inc common stock 208 800 shares 13.7 pct total outstanding The Cross bought 17 000 shares market Feb 17 March 10 The Frost Sullivan share purchases investment,"1,"
788,LASMO SET TO BENEFIT FROM FUTURE OIL PRICE RISES London Scottish Marine Oil Plc Lasmo lt LASL advantage oil prices rise confident happen decade company statement accompanying Lasmo advantage reserves oil gas 1986 stood 210 mln barrels oil equivalent record Reserves increased 1983 compounded rate 10 pct The company reported 1986 pretax profit 4.4 mln stg 118 mln 1985 It falling oil prices caused downturn The company reacted swiftly sharp drop oil prices ago Capital expenditure budgeted 150 mln stg cut 51 mln stg net disposals Managers responded demand lower operating costs achieved worldwide The company exploration committed 1987 retains maximum flexibility exploration program Even success existing fields discoveries contribute profit cash flow Lasmo shares 2p 251 announcement,"46, 7,"
856,HECK INC lt HEX 4TH QTR JAN THREE NET Shr losses Net loss 800 000 loss 400 000 Sales 181.2 mln 182.0 mln Year Shr losses Net loss 17.8 mln loss 900 000 Sales 566.3 mln 523.3 mln NOTE Company operating Chapter 11 bankruptcy 1986 net includes mln dlr LIFO charge 400 000 dlr credit pension plan termination,"22,"
2375,PYRO ENERGY CORP lt BTU YEAR NET Shr 36 cts 66 cts Net 775 000 342 000 Revs 105.5 mln 130.0 mln,"22,"
25,BRITISH FRENCH MINISTERS DISCUSS PUBLIC SPENDING French Finance Minister Edouard Balladur discussed control public spending talks British Chancellor Exchequer Nigel Lawson Treasury spokesman The spokesman ministers reviewed economies public spending domestic European Community wide He declined comment subject concerted action shore dollar arisen The Currency dipped sharply earlier week month relative stability agreement major industrialised nations Paris February 22 stabilise currencies,"47,"
7037,PRUDENTIAL RECORDS BEST RESULTS IN SIX YEARS lt Prudential Corporation Plc earlier announced 62 pct rise 1986 pre tax profits recorded insurance result reached satisfactory levels profit Group Chief Executive Brian Corby told news conference returning trading profits International division Mercantile General division reached satisfactory levels But welcomed Mercantile General trading profits 1986 optimistic International division The acquisition Life company lt Jackson National 1986 1987 Corby The Group intended expand estate agency firms bought hoped comprise 10 15 pct total company profits future We hope profitable shortly We profits estate agencies insurance products Corby Prudential pre tax profits rose 1985 110.1 mln stg 178.1 mln stg 1986,"22,"
2754,ALLEGHENY POWER SYSTEM INC lt AYP SETS PAYOUT Qtly div 73 cts 73 cts prior Pay March 31 Record March 16,"22,"
6617,ARMTEK lt ARM TO SELL INDUSTRIAL TIRE UNIT Armtek Corp Armstrong Rubber Co agreed sell industrial tire assembly division Dyneer Corp lt DYR undisclosed sum It agreement covers division tire production facility Clinton Tenn plants serving original equipment replacement markets Armstrong Tire Co Armtek unit continue sell replacement industrial tires company Final closing expected fiscal quarter June 30,"1,"
5863,EARNINGS RISE 7.6 PCT IN YEAR TO JANUARY Average earnings rose seasonally adjusted 7.6 pct January 7.4 pct rise December Department Employment The underlying rise 7.5 pct 7.75 pct December The January base 1980 set provisional seasonally adjusted 190.4 193.4 December The underlying rise adjusted factors pay timing variations steady 7.5 pct October 1985 October 1986 Unit wage costs Manufacturing industry rose 3.3 pct months January basis 3.1 pct rise months December Department Employment In January unit wage rise manufacturing industries 3.6 pct unchanged December rise The Department decline underlying rate rise earnings reflected reduced significance bonus payments January compared December The actual increase reflected teacher pay settlements industrial action transport communications sectors January 1987,"33,"
3976,GLYNWED INTERNATIONAL PLC lt GLYN 1986 YEAR Shr net basis 27.47 22.15 Div 6.5 5.4 10.1 8.4 Pretax profit 46.1 mln stg 35.6 mln Net tax 30 mln 23.3 mln Extraordinary items debit 3.8 mln debit 2.3 mln Interest payable 2.7 mln 4.0 mln Net borrowings 7.6 mln 16.1 mln Turnover 478.9 mln 464.1 mln,"22,"
5092,CHINA TO IMPORT MORE GRAIN IN 1987 China grain imports rise 1987 drought increasing demand Chinese officials Japanese traders told Reuters They foreign exchange constraints national policy return scale imports peaked 16.15 mln tonnes 1982 An agricultural official Shanghai government maximum imports 10 mln tonnes 7.73 mln 1986 5.97 mln 1985 Officials grain imports rose 1986 poor harvest rising domestic demand remained exports rose 9.42 mln tonnes 9.33 mln 1985 China short foreign exchange Shanghai official We rely imports current low prices Only major disaster major importer Japanese trader Peking Chinese grain imports rise exports fall drought low prices rising domestic demand human animal consumption At current prices China loses yuan tonne grain exports earns foreign exchange badly trader The People Daily Saturday drought 13.3 mln hectares arable land reduce summer grain harvest level The paper leaders paying attention agriculture grain difficult achieve 1987 grain output target 405 mln tonnes 391 mln 1986 All spare effort raise autumn harvest corn sweet potatoes paddy rice yield cash crops It factory production reduced provide electricity agriculture fight drought Since January press devoted attention grain stressing growth output vital China economic political stability prices paid farmers low Officials east China repeatedly stable grain production key policy outlined measures encourage output The Shanghai official suburb 10 pct pre tax profits factories subsidise agriculture He rural industries suburbs set money grain pay salaries 70 000 workers farmers Chu Jinfeng official Fengbing county Shanghai factory workers 60 yuan month unpaid leave grow grain profits Pan Huashan official agricultural department Zhejiang Province rural industry subsidises grain output province In addition setting grain production bases raising level science technology farms improving supply raw materials roads infrastructure The Shanghai official rural residents industry commerce land farm spare time family farm In lease land grain farmers The China Daily month grain output reach 425 450 mln tonnes 1990 480 500 mln 2000 It growing grain profitable The advantages promises grain growers yield tangible profits siphoned intermediate agencies bureaucracy corruption Only boost enthusiasm,"57,"
6650,ALCO STANDARD lt ASN COMPLETES ACQUISITION Delta Business Systems Inc completed announced merger Alco Standard Corp Delta expects sales 30 mln dlrs April,"1,"
2501,WTD INDUSTRIES INC lt WTDI 3RD QTR JAN 31 NET Shr profit 13 cts loss ct Net profit 853 000 loss 22 000 Sales 41.1 mln 20.3 mln Avg shrs 349 753 403 852 Nine Mths Shr profit 57 cts profit 28 cts Net profit 869 000 profit 252 000 Sales 119.0 mln 67.6 mln Avg shrs 054 844 403 852,"51,"
2912,GULF BOND STOCK MARKETS LAG BEHIND GIB SAYS Gulf money markets grown decade bond stock markets remain extent fragmented lag lt Gulf International Bank BSC GIB The bank economist Henry Azzam review Gulf capital markets investors relinquish traditional investment vehicles real estate foreign currency bank accounts precious metals Greater financial sophistication coupled diversified capital market instruments change disclosure requirements company accounts The GIB study reviewed capital markets categories -- money markets stock bond markets Azzam Gulf short term money market instruments banks region floated euronotes underwriting facilities Nevertheless bond stock markets remain extent fragmented lagging Most debt region raised syndicated loans bank facilities companies stock bond issues Only Kuwait official stock exchange Gulf nations establish exchanges But dwindling financial surpluses Gulf governments actively pursuing develop capital markets set domestic stock exchanges Azzam He recession stemming sliding oil prices negative impact development capital markets region In addition family firms reluctant public financial awareness investors lacking investment analysis corporate reporting standards lack depth sharp fall share prices 1980s prompted investors hold shares hoping eventual recovery Azzam absence proper commercial law Gulf countries authorities apparent reluctance adopt financial innovations hampered capital markets He called defined laws governing incorporation joint stock companies flotation debt instruments Azzam capital market instruments citizens institutions Gulf Cooperation Council GCC -- Bahrain Kuwait Qatar Oman Saudi Arabia United Arab Emirates UAE Some moves direction Bahrain allowing GCC nationals 25 pct locally incorporated companies Azzam Gulf money markets received depth introduction treasury bill offerings Bahrain expansion securities repurchase regulations Saudi Arabia But bond market speak Saudi Arabia Qatar Oman UAE Saudi riyal denominated bond issued 1978 While Bahrain plans official stock exchange trading Saudi Arabia picked establishment formal exchanges Qatar Oman UAE imminent Azzam,"75, 43,"
2793,AUSTRALIA KEATING CHANGES ECONOMIC FORECASTS Domestic demand expected contribution Australian economic growth fiscal 1986 87 June 30 net exports account increase Treasurer Paul Keating However speech Economic Planning Advisory Council EPAC forecast 2.25 pct rise gross domestic product gdp revised But Keating domestic demand fall financial net export growth provide total source gdp growth The August budget forecast domestic demand contribute 0.75 percentage farm gdp growth 2.5 pct net exports account 1.75 Keating impact changed economic parameters appears contributed rapid correction current account deficit anticipated The government initially forecast current account deficit 1986 87 14.75 billion -- expectation result lower 14 billion Partial indicators released meeting EPAC December 1986 87 budget strategy broadly track Keating They domestic demand sluggish expected budget time On hand net exports expanding expected budget time underpinning growth domestic production employment Keating 1986 87 inflation rate exceed budget forecast pct Nevertheless marked slowing inflation coming quarters depreciation budgetary effects wane Keating government expects economic growth pick moderately 1987 88 rise net exports moderate positive contribution private domestic demand He domestic demand growth strengthening real household disposable income The moderate rise economic growth financial sufficient sustain employment growth level broadly equivalent current fiscal The current account deficit continue improvement 1987 88 Keating As impact exchange rate depreciations recede continued effective wage restraint inflation moderate markedly 1987 88,"4,25,"
5181,FIRST VALLEY CORP lt FIVC REGULAR DIVIDEND Qtly div 21 cts Payable April 15 Record March 31,"90,"
5063,CEASARS WORLD FILES SUIT AGAINST MARTIN SOSNOFF AND MTS ACQUISITION ON TENDER OFFER CEASARS WORLD FILES SUIT AGAINST MARTIN SOSNOFF AND MTS ACQUISITION ON TENDER OFFER,"1,"
4961,MORSE SHOE INC lt MRS 4TH QTR NET Shr 59 cts 48 cts Net 244 000 584 000 Revs 169.3 mln 156.0 mln 12 mths Shr 1.78 dlrs 1.32 dlrs Net 733 000 164 000 Revs 585.6 mln 541.0,"22,"
753,COMMERZBANK INCREASES DIVIDEND PARENT NET PROFIT Commerzbank AG lt CBKG dividend marks proposed ordinary shareholders 1986 earnings 1985 It statement parent net profit rose 288.2 mln marks 1986 221.7 mln prior Commerzbank spokesman figures preliminary required approval bank supervisory board meets The Commerzbank statement distributable profit rose 228.2 mln marks 161.7 mln 1985 With inclusion corporate tax allowance qualifying domestic shareholders receive effective dividend 14.06 marks share Total dividend payout rise 186.8 mln marks 142.0 mln 1985 earnings increase dividend equity capital From parent net profit 60 mln marks published reserves unchanged prior The shareholders meeting May 22 Hamburg The statement holders Commerzbank participation certificates total nominal 425 mln marks receive remaining 41.4 mln marks distributable profit Aside basic payment 8.25 pct nominal certificate holders receive additional 1.5 pct The management board bank propose capital measures shareholders react challenges It authorised capital nominal 200 mln marks issue shares 300 mln issue warrant bonds period April 30 1992,"70,"
1791,CONTINENTAL GENERAL lt CGIC SETS STOCK DIVIDEND Continental General Insurance Co board directors declared 10 pct stock dividend common shares payable April shareholders record March 16 The company yesterday paid quarterly cash dividend cts share unchanged previous quarter shareholders record February 20,"22,"
6690,WICKES lt WIX PLANS REVERSE SPLIT CALLS DEBT Wickes Cos Inc board authorized reverse stock split plans call company 12 pct senior subordianted debentures 1994 The company seek shareholder approval reverse stock split annual shareholders meeting scheduled June 18 At January 31 Wickes 239 mln shares outstanding company Wickes call debentures Dec 1987 assuming market conditions remain essentially,"48, 44,"
1075,DE TOMASO INDUSTRIES INC lt DTOM YEAR NET Shr 2.90 dlrs 1.44 dlrs Net 862 000 391 000 Revs 221.6 mln 265.3 mln NOTE Translated Italian lire dollar equivalents exchange rate prevailing Dec 31 1986,"22,"
3171,lt DTD ENTERPRISES INC IN REORGANIZATION DTD Enterprises Inc filed report indicating lt EaglesLair Development Corp assumed control company reorganization plan signed month The company Gerald Lach president EaglesLair named president director DTD In addition DTS board resigned EaglesLair appointed directors company,"1,"
365,MINSTAR INC SAID IT SOLD ALL 10 MLN OF ITS BORG WARNER SHARES MINSTAR INC SAID IT SOLD ALL 10 MLN OF ITS BORG WARNER SHARES,"1,"
4504,USSR HEAVY BUYERS OF YUGOSLAV CORN REPORT The Soviet Union heavy buyer Yugoslav corn October purchasing close 1.5 mln tonnes 1986 87 marketing report agriculture counselor Belgrade Approximately 1.5 mln tonnes Yugoslav corn committed foreign buyers 1986 87 sold Soviet Union Yugoslav Grain Association reported official In report dated March 10 official 800 000 tonnes corn delivered balance 700 000 tonnes shipped June An additional 500 000 tonnes corn shipped July September grain associaiton total Yugoslav corn exports reach 2.0 mln tonnes counselor Heavier normal monthly shipping rates Yugoslav corn exports increased river barges exporting corn Soviet Union counselor Monthly corn shipments Yugoslavia averaged 160 000 tonnes October earlier estimates 150 000 official The Soviet Union increased share Yugoslav corn sales marketing,"13,27,"
6600,DRESDNER DECLINES COMMENT ON SCRIP SHARE REPORT Dresdner Bank AG lt DRSD spokesman bank comment newspaper reports shareholders offered free subscription shares Dresdner shares surged 10.50 marks 319.50 climbing Other bank stocks rose dealers cited speculation market Deutsche Bank AG lt DBKG move Such scrip issues occurred mark time German banks issued free shares The varying reports Dresdner shareholders offered free share 15 18 20 held,"52,"
3772,BRITAIN TO MINT NEW BRITANNIA GOLD COIN Britain autumn mint market bullion coin called Britannia ounce 24 carat gold bullion coins denominations Treasury official The investment coin sold worldwide fluctuate price international price gold The coins denominations half ounce quarter ounce tenth ounce REUTER,"26,"
4707,TRANSPORT DEVELOPMENT GROUP PLC lt TDGL 1986 YEAR Shr 17.15 12.37 Final dividend 5.5 7.5 6.2 Pre tax profit 39.4 mln stg 29.7 mln Turnover 543.2 mln stg 481.5 mln Operating profit 48.2 mln stg 38.2 mln Net 8.9 mln 8.6 mln Tax 14.3 mln 11.2 mln Profit tax 25.1 mln 18.4 mln Minority 300 000 615 000 Net tangible assets ordinary shr 111.3 101.6,"22,"
6745,TIMBER REALIZATION lt TRX TO SELL REMAINING ACRES Timber Realization Co agreed sell remaining 50 000 acres timberland property Mississippi 11.3 mln dlrs cash Timber Realization limited partnership formed dispose timberlands properties transferred lt Masonite Corp sale completed partnership received 15.2 mln dlrs cash notes sale properties December 23 1986 The partnership terminate August 1987 Prior partnership expects form liquidating trust provide unresolved claims liablities Timber Realization amount retained trust depend experience resolving items termination expects retain substantial amount trust The partnership anticipates cash distribution undetermined amount unitholders liquidation trust funding,"45, 86, 82,"
5048,CENTRAL PENNSYLVANIA lt CPSA BUYS STAKE IN FIRM Central Pennsylvania Savings Association 30 pct investment lt Pinnacle Mortgage Investment Co Terms disclosed Pinnacle incorporated 1985 generates 60 mln dlrs closed mortgage loans annually Central Pennsylvania directors approved letter intent acquire Hamilton Reliance Savings Association Norristown Pa,"50,"
3055,LEASEWAY TRANSPORTATION CORP lt LTC 4TH QTR LOSS Oper shr loss 39 cts profit 62 cts Oper net loss 628 000 profit 256 000 Revs 338.1 mln 327.9 mln Year Oper shr profit 1.12 dlrs profit 1.88 dlrs Oper net profit 13.2 mln 22.2 mln Revs 1.32 billion 1.29 billion NOTE Net excludes gains discontinued leasing operations 37.6 mln dlrs 40.3 mln dlrs 32.6 mln dlrs 34.3 mln dlrs quarter Results restated discontinued operations 1986 net periods includes charge 300 000 dlrs elimination investment tax credits,"22,"
3142,LLOYDS BANK CANADA 1ST QTR PROFIT RISES SHARPLY Lloyds Bank Canada unit lt Lloyds Bank International PLC net profit soared 053 000 dlrs quarter January 31 000 dlrs earlier Loan loss provisions mandatory averaging actual loan losses rose quarter 375 000 dlrs ago 113 000 dlrs bank Lloyds Bank Canada Canada largest foreign bank autumn 200 mln Canadian dlr acquisition Continental Bank Canada,"64,"
3430,NAT HEALTHCARE lt NHCI TO SELL FIVE HOSPITALS National Heathcare Inc signed agreement sell rural hospitals private corporation 18 mln dlrs including assumption mln dlrs debt The company plans complete sales subject regulatory approvals July National Healthcare expects material gain loss sales proceeds reduce debt,"64,"
3904,STANDARD TRUSTCO SEES BETTER YEAR Standard Trustco expects earnings 1987 increase 15 20 pct 140 000 dlrs 2.52 dlrs share recorded 1986 Stable rates growing economy expected provide favorable conditions growth 1987 president Brian Malley told shareholders annual meeting Standard Trustco reported assets 1.28 billion dlrs 1986 1.10 billion dlrs 1985 Return common shareholders equity 18.6 pct 15 pct 1985,"4, 56, 85,"
1561,INTERNATIONAL PACT ON OZONE DAMAGE LIKELY IN 1987 An international protocol severely limit industrial chemicals believed damage earth protective ozone layer signed officials scientists By international protocol Environmental protection agency officer Bill Long told reporters The chemicals chiefly chlorofluorocarbons CFCs refrigeration foam plastics solvents aerosols The earth upper ozone layer absorbs harmful ultraviolet rays sun The officials scientists meeting Tokyo ahead international conference month Vienna Geneva Long Robert Watson program manager atmospheric National Aeronautics Space Administration protocol demand initial freeze CFCs industry This gradual reduction CFC volume CFC gases released air The Has banned CFCs aerosols Japan voluntary restraint CFCs industrial processes,"60,"
5505,COCOA TRADERS STILL CAUTIOUS ON ICCO New York cocoa traders reacted caution developments International Cocoa Organization talks London time negotiations break extremely cautious short Jack Ward president cocoa trading firm Barretto Peat If final position ICCO talks time positions The risk moment commensurate gain ICCO producer consumer delegates morning accepted outlines compromise proposal buffer stock rules basis negotiation representatives charged fleshing details Market sentiment reflected optimism stronger Ward It closer agreement ... shouldn forget negotiate trader developments Many dealers sidelined coming negotiations remained traders The dealers historically positions outright terms trader Speculators net The price strength -- gains 52 dlrs days -- sterling rally dollar process attracted measure origin selling traders,"7,"
5234,EC OILS TAX NO LONGER MAJOR ISSUE ASSOCIATION The proposed European Community EC tax vegetable oils fats major issue agenda EC Commission threat West German Feed Stuffs Industry Association MFI Association chairman Ulrich Wagner told news conference West German feed industry believes EC contemplate introduction tax transatlantic trade war We avoided trade conflict And Commission tax threat calm national farm lobbies American Soybean Association ASA president elect Wayne Bennett yesterday The Hague Soybean producers confident tax rejected Bennett leading soybean delegations lobbying tour EC capitals visit Bonn Thursday Friday There indications Bonn government reject proposed tax Wagner,"86,"
850,SOUTHERN HOSPITALITY CORP lt SHOS 3RD QTR FEB 28 Shr loss 23 cts loss 11 cts Net loss 128 412 loss 548 054 Sales 827 784 12.1 mln Nine mths Shr loss 19 cts profit 11 cts Net loss 926 924 profit 527 004 Sales 32.3 mln 37.5 mln,"22,"
4526,UTILICORP lt UCU COMPLETES ACQUISITION UtiliCorp United Inc completed acquisition West Virginia Power Dominion Resources 21 mln dlrs The sale approved West Virginia Public Service Commission January effective March West Virginia management continue responsible operating utility,"46,"
1166,GHANA COCOA PURCHASES SLOW The Ghana Cocoa Board purchased 214 tonnes cocoa 24th week March 19 1986 87 main crop season compared 456 tonnes previous week 372 tonnes 24th week March 27 1985 86 season Cumulative purchases season stand 217 449 tonnes ahead 204 256 tonnes purchased 24th week season,"7,"
6518,STANWOOD CORP lt SNW 4TH QTR JAN Shr loss 1.12 dlrs profit cts Net loss 1.7 mln profit 000 dlrs Revs 31.8 mln 42.1 mln Year Shr loss 51 cts profit 57 cts NEt loss 780 000 profit 876 000 Revs 117.8 mln 117.3 mln NOTE 1986 4th qtr includes loss 911 000 termination licensing agreement loss 319 000 dlr termination womens wear operation,"85,"
6211,LITTLE PRINCE PRODUCTIONS LTD lt LTLP 1ST QTR LOSS Qtr Dec 31 Shr profit nil loss nil Net profit 858 loss 957 Revs 372 500,"48,"
246,CONSUMER PRICES ROSE 0.4 PCT IN FEBRUARY consumer prices measured Consumer Price Index urban consumers CPI rose seasonally adjusted 0.4 pct February 0.7 pct January gain Labor Department The CPI urban wage earners clerical workers CPI rose 329.0 February department Prices petroleum based energy rose sharply consecutive month February January department Energy prices rose 1.9 pct month 3.0 pct rise January accounting CPI rise For 12 months February CPI rose unadjusted 2.1 pct Transportation prices rose 0.5 pct February 1.5 pct increase January Smaller price rises motor fuels declines car prices finance charges responsible moderation Gasoline prices rose 4.2 pct month increasing 6.6 pct January 18 pct levels ago department Housing prices rose 0.4 pct February 0.5 pct January increase rise fuel oil prices Fuel oil prices 4.4 pct February increasing 9.8 pct January 15 pct price levels February 1986 Food prices rose 0.2 pct month 0.5 pct January increase Grocery store food prices 0.4 pct January meat poultry fish eggs cost consecutive month department Medical care rose 0.3 pct February level 7.1 pct ago costs prescription prescription drugs medical supplies department The apparel upkeep rose 0.7 pct February 0.4 pct increase January The department introduction priced spring merchandise clothing responsible advance Prices services rose 0.7 pct February 1.1 pct increase January Tobacco prices 0.9 pct 2.0 pct January increase accounted 30 pct rise department,"16,"
2421,WEBCOR ELECTRONICS lt WER IN TECHNICAL DEFAULT Webcor Electronics Inc remains technical payment default revolving credit agreement technical default obligations lender Although lender enforced demand payment debt continues reserve time Earlier Webcor reported quarter net loss 1.8 mln dlrs months net loss 4.0 mln dlrs,"47,"
1093,OMNICOM GROUP lt OMCM SETS REGULAR PAYOUT Qtlry div 24.5 cts 24.5 cts Pay April Record March 16,"64, 82,"
